id,word
1,<eos> by under in N the <unk> to of and a into below with for on from but said apart
2,to <eos> and <unk> the N coup in of a for bank $ labor-management by as with he 's that
3,at <eos> of traders <unk> the brokers N to in and for a trader vote but this said on price
4,<eos> and to with sony a the <unk> after effective glass N of in 's that for $ is it
5,and <eos> contract is index or the remains prices transferred <unk> to contracts N in of markets a trading market
6,markets <eos> <unk> the gains of and to corp. N management spending in a international appreciation is requirements that for
7,<unk> $ the news large abortion aftermath promised earthquake-related <eos> N of to a company in and u.s. 's new
8,'s <eos> is <unk> the was N to will of a has would in and said had for also that
9,of some notably <eos> and <unk> to the in N are for have a on that ' it said were
10,the <unk> a n't <eos> N to in of not expected that and one likely an for at $ on
11,<unk> own the <eos> N of to a in and money 's that for new shares business $ way is
12,the <unk> N a <eos> to of new and in its an that september 's addition which this for his
13,the a <unk> of $ <eos> N its more any proposed actually consecutive nabisco to in and that example 's
14,<unk> the up suspended traded <eos> and N n't a down to mixed quoted being in off major of hit
15,two N the a <unk> <eos> to in of $ one and about for that by 's on way is
16,<unk> the N first <eos> of to a most company in and only u.s. $ 's market new for that
17,unlikely pleased <unk> high the <eos> N difficult of to a long tough sensitive vulnerable in and be he against
18,directly convertible on the a notes <eos> in <unk> with stock N under for of to $ it by its
19,board <unk> the <eos> three N to of and a in one brokerage 's that for institutional is new at
20,altogether <eos> the <unk> in on N yesterday at and of to a for is as volume friday that was
21,<unk> the <eos> N company market of to a in and stock u.s. new bank $ 's first for that
22,the a <unk> N <eos> all of it to his mr. an in that and its he years two 's
23,<eos> of the conference <unk> that for to and is agency N in a on corp. program from network wires
24,of the their itself <unk> <eos> N to a in and 's that for $ is it said on by
25,a the that <unk> an in <eos> its when effective bankrupt N of to will their one i there yesterday
26,<eos> <unk> in posted while particularly including the and of to N that a are have were for on closed
27,a down trading <unk> the N <eos> one off going dragged b.a.t clothing to in of n't and $ named
28,are is the <unk> <eos> N has of to a was in and it will he would had for 's
29,journal 's <eos> the <unk> firms and to is N a of in for analysts said has that firm brokerage
30,<unk> the <eos> N new of to company a in and big u.s. market other $ 's sale for that
31,<eos> that and to <unk> the are will of a in N he which would were including late credit went
32,<unk> the <eos> N company of to a in and u.s. new $ 's for market that federal stock first
33,the <unk> N a <eos> to of new and in its an that september 's addition which this for his
34,<eos> markets exchange market of prices the <unk> price and from to N in would purchases analysts transaction trader a
35,the it he union <unk> a <eos> N to they of and in we at 's i that she its
36,at <eos> of traders <unk> the brokers N to in and for a trader vote but this said on price
37,in exchange market <eos> the <unk> of and to N prices a for 's is at that markets price on
38,the a its <eos> <unk> all N stocks an in to $ at off of them and big options no
39,year <eos> of N <unk> the in that for priced to from a was are has will which would other
40,<unk> same the <eos> N of most to japanese work deal a spokesman budget job strategy task writing actors repairs
41,est edt <unk> the <eos> and N at from million or of to when last yesterday just tuesday contracts scheduled
42,the N <eos> a to <unk> in its and of from $ that as for their by at on about
43,the its <unk> a <eos> N $ to of their and all at in off it programs for orders them
44,breakers court breaker <eos> <unk> the city N of to a is in and as was two maker itself appeals
45,N the <unk> <eos> yield a $ be of to in its and about one end stay even improved eli
46,<unk> the <eos> N of to bush a in and noriega dinkins honecker gorbachev corry jones 's lee that for
47,<unk> the <eos> N new of to company a in and big u.s. market other $ 's sale for that
48,the <unk> other a N investment <eos> of its closed to is in and market who sales after that securities
49,the prices <unk> a <eos> N to of in and its that 's for $ it an their is said
50,<unk> N the <eos> of in to a $ and major big company reason is that year 's for analyst
51,jones the <unk> <eos> N industrials and of to a 's in at chemical was average has that is for
52,if whether and about who what where the <unk> <eos> N of to a in 's that for $ is
53,the japanese individual smaller <unk> N <eos> a $ be of to in and 's that for have is make
54,executives insurance the <unk> <eos> 's N fell home currently owns of to a in and that for $ is
55,the <unk> a not <eos> some get pay nothing contemplating described N to n't in of that and expected for
56,<unk> be the N <eos> a $ of to mention in and do make say provide seek have take buy
57,firms firm houses <unk> <eos> the and a N house of to business license licenses in 's group companies chief
58,<unk> two the <eos> N u.s. of to company in a and purchase ages house stock white markets futures $
59,said and in to of the a unit 's <unk> <eos> N group say decisions speculated which for is was
60,the <unk> a <eos> N to their of its in and that an his 's for it this wall oct.
61,the N <unk> <eos> a $ be of to normal in and square work an business japan 's get that
62,of <eos> for reserves the in <unk> N to and a was from on $ is that said 's as
63,N million <eos> to <unk> billion the of a will workers in and 's more companies price compared common japan
64,the N <unk> a $ <eos> to in of on and an just any they it as from for be
65,<eos> and were the that mr. such can like finished plummeted posting <unk> N of to a in 's for
66,<eos> <unk> to the and in by of a N for with from 's on that said as at is
67,of <eos> was fell food viewed the <unk> in and to N that a are have were for on closed
68,announce be <unk> the <eos> N of to have a in and continue take 's that for make remain $
69,<eos> by in of to as the sounds <unk> N and that a is on was has this at from
70,the of <unk> <eos> N this issues to a in and those u.s. that but shares families for it 's
71,<eos> in is the <unk> and that of was he N to says said a at as has or where
72,oct. business the <unk> <eos> N of to a in and 's that for $ is it said on by
73,N million <eos> <unk> to the of a billion and in crash cents for months is that 's from years
74,<eos> cents <unk> the years of to N in weeks that months men a and he says some down while
75,<unk> the N a <eos> to of in that other and chief $ is it its for mr. 's said
76,the <unk> europe its N <eos> all fiscal france european italy singapore china a to of in and that other
77,paper businesses N <unk> the <eos> $ to in and of shares a from 's assets term on at that
78,of <eos> the <unk> N to is and a in for that was 's will $ one it said had
79,<eos> or in of from the <unk> to shares a N and for on $ that common 's is by
80,of <eos> and the N <unk> to street 's by a are which also sales & in plan reported operations
81,and 's said the a of <unk> in <eos> N to which for unit is was that has group $
82,<unk> the <eos> N to a of in and effort analyst agreement estimated increase old investment $ imminent american average
83,of <eos> said and <unk> the N a in at to james will was 's for succeeding is by who
84,<unk> the other N <eos> market japan bank credit prepare putting merchant efficiency discourage emigration a to of in and
85,the <unk> N <eos> a are he be we i to so people time trying ran unable talent muscle of
86,creditors the creditor N a $ <unk> <eos> its of to which using possible in and 's that for an
87,<unk> the <eos> being about a N has trying are is chairman in held of to vice under producing president
88,the composite <unk> a N new <eos> an trading national of to and in u.s. london chicago light heavy over-the-counter
89,the <unk> a and is an jr. <eos> N of to in 's that for $ it said on by
90,<unk> altman the hollander weekes <eos> lee N of to a but in and via stanley morris miller hall van
91,in of to on has which design the <unk> <eos> N a and 's that for $ is it said
92,<unk> the N <eos> a of to and in $ stock 's that for said is president chairman mr. new
93,chicago pittsburgh the <unk> N a <eos> of to and in new that its an 's for $ is it
94,concern news auction <unk> the <eos> bank analyst ad salomon engineering precious wcrs wpp N of to a in and
95,is of and the for <eos> necessary arrangement mechanism tax-loss corp. to <unk> N in a from its that group
96,N n't billed subdued <unk> the a <eos> to in of and $ named that for 's up an at
97,<eos> <unk> filed 's said after could customer the to N and branch of a in mr. which financial national
98,in <eos> of to the <unk> is on N that as and a at by for 's with was he
99,N <unk> the <eos> of to a in and 's that for $ is it said on at by as
100,between of the <eos> <unk> to a in N that and for on by at as 's there $ said
101,<unk> the N <eos> u.s. of company to a in first and past new third $ market 's stock for
102,<eos> and 's was of <unk> the in annual to reaction acquired totaled N engaged reacted defended that a is
103,u the <unk> a N <eos> of to and in $ mr. an that 's for its is at it
104,<unk> company the <eos> case N $ of to bank second a soviet agency money move tax suit project impact
105,<unk> of to for <eos> the losses buyers N in and is bidders market a value threat abuse sales government
106,a the more <unk> vehicles unstable <eos> N of in to and so an president for 's is chairman that
107,<eos> ended 's the to <unk> before in of and N a but that was after by for with when
108,N million <eos> billion to the <unk> a in of and cents yen marks for 's is from on that
109,the N $ a <unk> <eos> of to its in and last that august 's an about for is their
110,york <unk> the <eos> N of to a and in jersey england company orleans 's that for $ is mexico
111,dec. <eos> oct. and N the <unk> nov. feb. in on of at to they a may markets april aug.
112,the N a $ <unk> least <eos> of to in and its that an about par this all 's for
113,for <eos> seeking the and <unk> to complaining that a from N into are their of immediately in it on
114,disclosed <unk> the <eos> be N available a of to have in and as for on been it willing want
115,<unk> N the that an <eos> increase whether southeast keen a to of in and other $ for is 's
116,& lines <eos> <unk> the interview to co. calls and company corp. service N business companies a of call in
117,than cost <unk> the <eos> to N of and in a full that for 's on from expensive $ at
118,N million <eos> <unk> to the of a billion in and years points people cents from for 's is that
119,<unk> past next the <eos> N company of to weekend a in and last years 's u.s. new market for
120,of years <unk> companies people the <eos> as N investors to in it have japanese a money months state stocks
121,<eos> 's the <unk> and of a N for in that managers with is to will has report inc. said
122,with <unk> the a to in <eos> N of and trading an as next operations operating buying shipping processing are
123,has stocks against between funds the <unk> <eos> N of to a in and 's that for $ is it
124,N <eos> million to the <unk> of a billion in and at which after indicates adjusted for cents 's from
125,<unk> the 's <eos> N and a. foods of to a carpenter in r. e. l. w. f. k. on
126,<eos> in from yen of the <unk> a to and N for $ or is francs that up on nyse
127,income loss of <unk> the <eos> rose was N to fell for a in and worth sales interest $ profit
128,it <eos> the <unk> that N a to in of he and they its mr. 's for is $ said
129,<eos> and of the to in <unk> is a N held primarily that by from are trust for had mr.
130,N <eos> million the <unk> to of a and billion in yen cents for on 's shares from by that
131,the takeover <unk> on their provigo <eos> in once acquired equities N of to a and 's that for $
132,than <unk> <eos> the of in N to a and about important attractive quickly closely powerful sophisticated work modest effectively
133,back the <unk> <eos> N of to a in and 's that for $ is it said on by at
134,income loss of <unk> the <eos> rose was N to fell for a in and worth sales interest $ profit
135,<eos> <unk> the a and N of to in an said president for 's mr. chairman chief on that r.
136,the <unk> N <eos> be $ a time sell of to take in and put come consider get do have
137,<eos> 's the <unk> and of a N for in that managers with is to will has report inc. said
